"","srvid","srvname"
"1",22,"-- 3Mb/300Kb"
"2",24,"-- 6Mb/600Kb"
"3",56,"-- 8Mb/800Kb"
"4",25,"---  10Mb/1MB"
"5",26,"--- 15Mb/1.5Mb"
"6",17,"--- Impago ---"
"7",57,"100Mb/100Mb"
"8",68,"100Mb/50Mb"
"9",28,"10Mb/10Mb"
"10",5,"10Mb/2Mb"
"11",29,"10Mb/3Mb"
"12",53,"10Mb/4Mb"
"13",33,"10Mb/6Mb"
"14",52,"15Mb/15Mb"
"15",35,"15Mb/3Mb"
"16",38,"15Mb/6Mb"
"17",31,"1Mb/1Mb"
"18",20,"1Mb/256Kbps"
"19",37,"20Mb/10Mb"
"20",27,"20Mb/20Mb"
"21",16,"20Mb/2Mb"
"22",46,"20Mb/3Mb"
"23",60,"20Mb/4Mb"
"24",43,"20Mb/6Mb"
"25",10,"2Mb/1Mb"
"26",34,"2Mb/2Mb"
"27",18,"2Mb/300Kb"
"28",66,"30Mb/10Mb"
"29",67,"30Mb/30Mb"
"30",54,"30Mb/3Mb"
"31",55,"30Mb/6Mb"
"32",59,"3b mes"
"33",63,"3M-ComunidadesCards"
"34",64,"3M-Limitacion horaria"
"35",44,"3Mb/3Mb"
"36",36,"40Mb/40Mb"
"37",30,"4Mb/4Mb"
"38",1,"50Mb/10Mb"
"39",11,"50Mb/20Mb"
"40",12,"50Mb/30Mb"
"41",58,"50Mb/40Mb"
"42",19,"50Mb/50Mb"
"43",42,"50Mb/5Mb"
"44",14,"6Mb/2Mb"
"45",21,"6Mb/4Mb"
"46",45,"6Mb/6Mb"
"47",41,"Baja Definitiva"
"48",40,"Baja Temporal"
"49",0,"Default service"
"50",13,"Next daily service"
"51",2,"SIN LIMITE"
"65",23,"Telefonia"
"66",62,"test"
